Codi,Institució,Latitude,Longitude,Web,Ciutat,País,Continent o Zona (CALCULAT),Estudis Mobilitat,"Mobilitat 
estudiants","Mobilitat 
docent","Col. acadèmica 
o institucional","Estudis 
conjunts",Xarxes,Factsheet,Curs d'actualització Factsheet,Estudis insti,Video promocional,,,,,,,,,,,,,,,
ARGBUENOSA19,Universidad de San Andrés,-34.44612,-58.529949,http://www.udesa.edu.ar/,Buenos Aires,Argentina,Amèrica Llatina,"Ciències Polítiques; Dret; Relacions Laborals; Periodisme; Humanitats (inclou Global Studies)
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Universidad+de+San+Andr%C3%A9s_2021.pdf/35208286-2dcb-707f-ef04-803c1a7c45b8?t=1679583782676,2025-26,"Ciències Polítiques; Dret;Periodisme 
",https://www.youtube.com/watch?v=V2wQdQ-9zZs,,,,,,,,,,,,,,,
ARGBUENOSA15,Universidad del Cine,-34.6178504,-58.3706422,http://www.ucine.edu.ar/,Buenos Aires,Argentina,Amèrica Llatina,Comunicació Audiovisual,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Universidad+del+Cine.pdf/11984ecc-074f-15a1-c41d-7947f539e9f8?t=1679903566484,2025-26,Comunicació Audiovisual,,,,,,,,,,,,,,,,
ARGCORDOBA01,Universidad Nacional de Córdoba,-31.4354855,-64.1855702,http://www.unc.edu.ar,Córdoba,Argentina,Amèrica Llatina,Tots els estudis excepte Traducció i Interpretació; IBE,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Universidad+Nacional+C%C3%B3rdoba/9667a597-a045-0b39-c70a-74c8c138435e,2026,Tots els estudis,,,,,,,,,,,,,,,,
,Universidad Nacional de Cuyo,-32.880732,-68.8779859,http://www.uncu.edu.ar/,Mendoza,Argentina,Amèrica Llatina,Dret,FALSE,FALSE,TRUE,FALSE,,,2018-19,"Dret
",,,,,,,,,,,,,,,,
,Universidad Nacional de General Sarmiento,-34.5217483,-58.7007662,https://www.ungs.edu.ar/,Buenos Aires,Argentina,Amèrica Llatina,Lingüística Aplicada (IULA),FALSE,FALSE,TRUE,FALSE,,,2018-19,"Lingüística Aplicada (IULA)
",,,,,,,,,,,,,,,,
,Universidad Nacional del Sur,-38.7018411,-62.2702322,http://www.uns.edu.ar/,Bahía Blanca,Argentina,Amèrica Llatina,Dret,FALSE,TRUE,FALSE,FALSE,,,2018-19,Dret,,,,,,,,,,,,,,,,
ARGBUENOSA16,Universidad Torcuato di Tella,-34.5474028,-58.4467186,http://www.utdt.edu,Buenos Aires,Argentina,Amèrica Llatina,Ciències Econòmiques i Empresarials,TRUE,FALSE,FALSE,FALSE,,https://www.utdt.edu/ver_contenido.php?id_contenido=11256&id_item_menu=323,2025-26,Ciències Econòmiques i Empresarials; Ciències Polítiques; Dret,,,,,,,,,,,,,,,,
AUSMELBOU02,Royal Melbourne Institute of Technology,-37.809286,144.9644092,http://www.rmit.edu.au/,Melbourne,Austràlia,Àsia-Pacífic,"Tots els estudis excepte facultat d'Interpretació
",TRUE,FALSE,FALSE,FALSE,,https://www.rmit.edu.au/study-with-us/international-students/programs-for-international-students/study-abroad-and-exchange/student-exchange,2025-26,,,,,,,,,,,,,,,,,
AUS999_REVISAR_1,Adelaide University,-34.920603,138.6062277,http://www.adelaide.edu.au,Adelaide,Austràlia,Àsia-Pacífic,Tots els estudis excepte Medicina,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121113937/The+University+of+Adelaide_2021.pdf/f624ffb0-f4da-042f-e3d3-e79ad510fe1d,2026,Tots els estudis excepte Medicina,https://youtu.be/LHHHV4o-86c,no,,,,,,,,,,,,,,
AUSSYDNEY01,University of New South Wales,-33.917347,151.2312675,http://www.international.unsw.edu.au/,Sydney,Austràlia,Àsia-Pacífic,Tots els estudis excepte Medicina,TRUE,FALSE,FALSE,FALSE,,https://sway.office.com/LUMxAzRKDvS7n8nE?ref=Link,2025-26,Tots els estudis excepte Medicina,,,,,,,,,,,,,,,,
